City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,akureyri,65.6835,-18.0878,9.96,53,75,6.17,IS,1685033817
1,nadi,-17.8,177.4167,21.0,88,75,1.54,FJ,1685033817
2,west island,-12.1568,96.8225,25.99,89,40,6.17,CC,1685033818
3,yellowknife,62.456,-114.3525,11.29,62,40,4.47,CA,1685033818
4,blackmans bay,-43.0167,147.3167,5.96,78,30,5.14,AU,1685033818
5,college,64.8569,-147.8028,14.33,64,27,0.69,US,1685033819
6,thunder bay,48.4001,-89.3168,12.99,35,0,5.66,CA,1685033819
7,hawaiian paradise park,19.5933,-154.9731,21.13,97,80,3.12,US,1685033819
8,bethel,41.3712,-73.414,18.63,54,5,0.89,US,1685033820
9,papatowai,-46.5619,169.4708,13.08,66,100,4.97,NZ,1685033820
10,kingston,17.997,-76.7936,31.25,69,40,3.6,JM,1685033820
11,san antonio de pale,-1.4014,5.6325,26.49,88,100,6.05,GQ,1685033821
12,alta,69.9689,23.2717,9.59,43,0,7.72,NO,1685033702
13,polyarnyy,69.1989,33.4478,12.67,38,96,6.18,RU,1685033821
14,flinders view,-27.6505,152.7745,14.74,92,1,1.11,AU,1685033822
15,bilibino,68.0546,166.4372,3.69,72,53,1.29,RU,1685033822
16,adamstown,-25.066,-130.1015,23.18,71,46,2.51,PN,1685033822
17,ribeira grande,38.5167,-28.7,18.22,77,75,5.36,PT,1685033822
18,ust-nera,64.5667,143.2,-0.92,80,17,2.53,RU,1685033823
19,pisco,-13.7,-76.2167,23.03,73,100,2.57,PE,1685033823
20,saacow,1.6279,42.4407,28.46,56,89,8.77,SO,1685033823
21,vilyuchinsk,52.9306,158.4028,6.15,88,99,2.87,RU,1685033824
22,bredasdorp,-34.5322,20.0403,10.86,86,100,4.39,ZA,1685033824
23,arraial do cabo,-22.9661,-42.0278,25.98,69,20,6.69,BR,1685033555
24,edinburgh of the seven seas,-37.0676,-12.3116,16.25,88,61,13.65,SH,1685033825
25,biala podlaska,52.0324,23.1165,19.21,78,62,3.08,PL,1685033825
26,whitehorse,60.7161,-135.0538,12.28,55,75,4.63,CA,1685033826
27,saint-pierre,-21.3393,55.4781,22.54,78,100,3.09,RE,1685033826
28,port elizabeth,-33.918,25.5701,17.28,85,75,8.75,ZA,1685033753
29,vadso,70.0744,29.7487,13.49,50,40,6.17,NO,1685033826
30,invercargill,-46.4,168.35,13.5,68,99,5.83,NZ,1685033827
31,acarau,-2.8856,-40.12,29.16,70,99,5.75,BR,1685033827
32,constantia,44.1833,28.65,23.38,77,49,0.99,RO,1685033700
33,port-aux-francais,-49.35,70.2167,5.07,99,99,9.61,TF,1685033828
34,hithadhoo,-0.6,73.0833,28.79,71,75,5.0,MV,1685033828
35,ust'-ilimsk,58.0006,102.6619,5.5,96,100,2.67,RU,1685033829
36,san patricio,28.017,-97.5169,31.76,58,34,3.1,US,1685033829
37,udachny,66.4167,112.4,1.92,69,100,3.02,RU,1685033830
38,margaret river,-33.95,115.0667,9.05,76,0,3.84,AU,1685033830
39,leticia,-4.2153,-69.9406,28.03,78,75,2.57,CO,1685033830
40,filingue,14.3521,3.3168,41.77,18,31,0.9,NE,1685033830
41,ilulissat,69.2167,-51.1,-0.28,62,12,1.41,GL,1685033595
42,grytviken,-54.2811,-36.5092,0.67,90,89,1.51,GS,1685033831
43,hermanus,-34.4187,19.2345,9.33,76,99,7.31,ZA,1685033832
44,pasuquin,18.3328,120.6177,27.57,80,37,3.25,PH,1685033832
45,puerto natales,-51.7236,-72.4875,2.25,93,75,2.57,CL,1685033832
46,bac giang,21.2667,106.2,25.04,85,99,3.73,VN,1685033833
47,boyolangu,-8.1181,111.8935,23.81,90,47,1.64,ID,1685033833
48,nemuro,43.3236,145.575,9.52,78,0,2.16,JP,1685033833
49,eyl,7.9803,49.8164,29.15,70,82,7.53,SO,1685033834
50,santa ana de yacuma,-13.75,-65.4333,30.97,66,40,3.6,BO,1685033834
51,xilin hot,43.9667,116.0333,11.82,35,16,4.15,CN,1685033834
52,wailua homesteads,22.0669,-159.378,22.64,81,44,1.79,US,1685033835
53,al ghayzah,16.2079,52.176,29.72,70,14,5.9,YE,1685033835
54,sao gabriel da cachoeira,-0.1303,-67.0892,24.89,94,75,2.57,BR,1685033835
55,port alfred,-33.5906,26.891,16.77,93,86,0.89,ZA,1685033835
56,anadyr,64.75,177.4833,0.28,93,100,3.0,RU,1685033810
57,kesabpur,22.9167,89.2167,25.48,67,100,2.24,BD,1685033836
58,quellon,-43.1167,-73.6167,9.14,81,100,4.12,CL,1685033836
